Category,Subcategory,cy2011_net_revenue,cy2012_net_revenue,revenue_change,revenue_growth_pct,cy2011_gross_profit,cy2012_gross_profit,gross_profit_change,gross_profit_growth_pct,cy2011_gross_margin_pct,cy2012_gross_margin_pct,gross_margin_change_ppt,price_effect,unit_cost_effect,volume_effect,mix_effect,growth_quality_tier
Bikes,Mountain Bikes,7603911.6557,6636404.7948,-967506.8609,-12.723804598318067,-17174.6331,622610.1822,639784.8153,3725.173117672016,-0.0022586576327626915,0.09381739080892872,0.09607604844169142,17550.08855998452,0.0,5995.545426634584,616239.181313381,Tier 5 - Profitable Contraction / Portfolio Improvement
Components,Wheels,46047.636,459499.5369,413451.9009,897.8786682990632,11972.384,119037.4334,107065.0494,894.266750882698,0.25999997046536766,0.2590588756695654,-0.0009410947958022004,-584.3421,0.0,8576.479908379992,99072.91159162001,Tier 2 - Margin-dilutive growth
Components,Road Frames,497481.1893,1413670.5343,916189.345,184.16562569715637,17741.1967,95014.1897,77272.993,435.5568246419364,0.035662045282482804,0.06721098544156025,0.03154894015907744,507.2695017241379,0.0,6634.786165147379,70130.93733312849,Tier 1 - High-quality growth
Components,Mountain Frames,687570.0837,1293070.288,605500.2043,88.06377977378541,91376.4149,142109.7446,50733.3297,55.52125212564014,0.1328976013736358,0.10990102078658233,-0.022996580587053467,1476.4500123076923,0.0,5289.717111193374,43967.16257649894,Tier 2 - Margin-dilutive growth
Clothing,Tights,12828.8394,128200.3098,115371.4704,899.3133891753295,3703.4864,38524.3832,34820.8968,940.2193781513549,0.28868444638881363,0.30050148287551176,0.011817036486698112,1988.985025716929,0.0,6935.762012863819,25896.149761419252,Tier 1 - High-quality growth
Clothing,Bib-Shorts,12006.5378,102301.4151,90294.8773,752.0475827761105,3728.5771,31474.7379,27746.1608,744.1487746089521,0.3105455679321644,0.30766669130855456,-0.0028788766236098862,-398.04442761904755,0.0,4488.002684975244,23656.202542643805,Tier 2 - Margin-dilutive growth
Clothing,Gloves,11130.3186,103024.4009,91894.0823,825.6195137127521,2423.4913,28349.9023,25926.411,1069.795917979982,0.21773781929297154,0.2751765800367785,0.05743876074380691,5635.362152951787,0.0,12555.753505622137,7735.295341426076,Tier 1 - High-quality growth
Clothing,Shorts,4853.479,63397.3178,58543.8388,1206.2242115398049,1488.0366,19289.6817,17801.6451,1196.3176913793652,0.30659174583839754,0.30426652687189865,-0.002325218966498898,91.64287708333335,0.0,4333.519506501319,13376.482716415348,Tier 2 - Margin-dilutive growth
Components,Forks,1262.232,54655.3796,53393.1476,4230.058150957985,328.18,14135.254,13807.074,4207.164970443049,0.2599997464808371,0.25862511802955257,-0.0013746284512845455,-101.52639999999998,0.0,1147.9698262458933,12760.630573754106,Tier 2 - Margin-dilutive growth
Components,Handlebars,6408.7805,58063.4705,51654.69,805.99873876161,1666.2789,15096.4539,13430.175,805.9980235001475,0.2599993711752181,0.2599991659127575,-2.0526246063619e-07,0.0,0.0,3265.4547725695247,10164.720227430475,Tier 2 - Margin-dilutive growth
Components,Headsets,606.594,42431.7111,41825.1171,6895.075965143077,157.7144,10897.9334,10740.219,6809.916532669179,0.2599999340580355,0.2568346436540477,-0.0031652904039878313,-181.4829,0.0,1827.1631109157374,9094.538789084263,Tier 2 - Margin-dilutive growth
Accessories,Helmets,31620.557,65425.8213,33805.2643,106.90913604083572,11140.9248,18392.1626,7251.2378,65.08649802572943,0.3523317062378123,0.28111473779848445,-0.07121696843932786,14459.786125559085,0.0,4687.765415760492,-11896.313741319578,Tier 2 - Margin-dilutive growth
Clothing,Vests,0.0,11820.4299,11820.4299,,0.0,3864.5149,3864.5149,,,0.32693522424256327,,0.0,0.0,892.2735308407755,2972.2413691592246,Tier 1 - High-quality growth (New Segment Entry)
Accessories,Bike Racks,0.0,9941.808,9941.808,,0.0,3299.568,3299.568,,,0.3318881233675002,,0.0,0.0,394.1984554162232,2905.3695445837766,Tier 1 - High-quality growth (New Segment Entry)
Accessories,Locks,1005.0,10019.98,9014.98,897.0129353233831,314.0625,3110.605,2796.5425,890.4413930348259,0.3125,0.31044024039968143,-0.0020597596003185635,-30.01999999999998,0.0,1606.092355513396,1220.470144486604,Tier 2 - Margin-dilutive growth
Accessories,Pumps,868.6135,8439.3462,7570.7327,871.5881919864244,266.6628,2625.9867,2359.3239,884.7592915097268,0.3069982218788909,0.31115996876630087,0.004161746887409979,50.68157671232873,0.0,1683.3339447503586,625.3083785373126,Tier 1 - High-quality growth
Components,Pedals,0.0,8615.358,8615.358,,0.0,2239.9836,2239.9836,,,0.2599988996394578,,0.0,0.0,631.2502292813845,1608.7333707186156,Tier 1 - High-quality growth (New Segment Entry)
Components,Cranksets,0.0,5912.79,5912.79,,0.0,1537.324,1537.324,,,0.2599997632251441,,0.0,0.0,93.22260769978251,1444.1013923002174,Tier 1 - High-quality growth (New Segment Entry)
Accessories,Hydration Packs,0.0,3304.4371,3304.4371,,0.0,1165.5419,1165.5419,,,0.35272025604602975,,0.0,0.0,277.0043200222109,888.537579977789,Tier 1 - High-quality growth (New Segment Entry)
Components,Saddles,0.0,2625.012,2625.012,,0.0,682.4995,682.4995,,,0.25999862095868514,,0.0,0.0,290.3218354078941,392.1776645921059,Tier 1 - High-quality growth (New Segment Entry)
