Category,Subcategory,q11,r11,gp11,gm11_pct,q12,r12,gp12,gm12_pct,revenue_change,gp_change,gm_pct_change,price_effect,unit_cost_effect,volume_effect,mix_effect,reconciled_gp_change,residual,growth_quality_tier
Bikes,Mountain Bikes,4254.0,7603911.6557,-17174.6331,-0.0022586576327626915,6505.0,6636404.7948,622610.1822,0.09381739080892872,-967506.8609,639784.8153,0.09607604844169142,17550.08855998452,0.0,5995.545426634584,616239.181313381,639784.8153,2.979864e-14,Other
Components,Wheels,352.0,46047.636,11972.384,0.25999997046536766,3572.0,459499.5369,119037.4334,0.2590588756695654,413451.9009,107065.0494,-0.0009410947958022004,-584.3421,0.0,8576.479908379992,99072.91159162001,107065.0494,-3.11e-14,Tier 2: Margin-Dilutive Growth
Components,Road Frames,1958.0,497481.1893,17741.1967,0.035662045282482804,4449.0,1413670.5343,95014.1897,0.06721098544156025,916189.345,77272.993,0.03154894015907744,507.2695017241379,0.0,6634.786165147379,70130.93733312849,77272.993,3.3e-15,Tier 1: High-Quality Growth
Components,Mountain Frames,1013.0,687570.0837,91376.4149,0.1328976013736358,2999.0,1293070.288,142109.7446,0.10990102078658233,605500.2043,50733.3297,-0.022996580587053467,1476.4500123076923,0.0,5289.717111193374,43967.16257649894,50733.3297,-3e-15,Tier 2: Margin-Dilutive Growth
Clothing,Tights,295.0,12828.8394,3703.4864,0.28868444638881363,2899.0,128200.3098,38524.3832,0.30050148287551176,115371.4704,34820.8968,0.011817036486698112,1988.985025716929,0.0,6935.762012863819,25896.149761419252,34820.8968,-6.38e-14,Tier 1: High-Quality Growth
Clothing,Bib-Shorts,223.0,12006.5378,3728.5771,0.3105455679321644,1908.0,102301.4151,31474.7379,0.30766669130855456,90294.8773,27746.1608,-0.0028788766236098862,-398.04442761904755,0.0,4488.002684975244,23656.202542643805,27746.1608,-2.94e-14,Tier 2: Margin-Dilutive Growth
Clothing,Gloves,594.0,11130.3186,2423.4913,0.21773781929297154,5308.0,103024.4009,28349.9023,0.2751765800367785,91894.0823,25926.411,0.05743876074380691,5635.362152951787,0.0,12555.753505622137,7735.295341426076,25926.411,7.19e-14,Tier 1: High-Quality Growth
Clothing,Shorts,136.0,4853.479,1488.0366,0.30659174583839754,1763.0,63397.3178,19289.6817,0.30426652687189865,58543.8388,17801.6451,-0.002325218966498898,91.64287708333335,0.0,4333.519506501319,13376.482716415348,17801.6451,-4.64e-14,Tier 2: Margin-Dilutive Growth
Components,Forks,12.0,1262.232,328.18,0.2599997464808371,443.0,54655.3796,14135.254,0.25862511802955257,53393.1476,13807.074,-0.0013746284512845455,-101.52639999999998,0.0,1147.9698262458933,12760.630573754106,13807.074,-1.45e-14,Tier 2: Margin-Dilutive Growth
Components,Handlebars,145.0,6408.7805,1666.2789,0.2599993711752181,1371.0,58063.4705,15096.4539,0.2599991659127575,51654.69,13430.175,-2.0526246063619e-07,0.0,0.0,3265.4547725695247,10164.720227430475,13430.175,0.0,Tier 2: Margin-Dilutive Growth
Components,Headsets,13.0,606.594,157.7144,0.2599999340580355,699.0,42431.7111,10897.9334,0.2568346436540477,41825.1171,10740.219,-0.0031652904039878313,-181.4829,0.0,1827.1631109157374,9094.538789084263,10740.219,-1e-14,Tier 2: Margin-Dilutive Growth
Accessories,Helmets,1651.0,31620.557,11140.9248,0.3523317062378123,3411.0,65425.8213,18392.1626,0.28111473779848445,33805.2643,7251.2378,-0.07121696843932786,14459.786125559085,0.0,4687.765415760492,-11896.313741319578,7251.2378,1.189898e-14,Tier 2: Margin-Dilutive Growth
Clothing,Vests,0.0,0.0,0.0,,335.0,11820.4299,3864.5149,0.32693522424256327,11820.4299,3864.5149,,0.0,0.0,892.2735308407755,2972.2413691592246,3864.5149,-5e-16,Other
Accessories,Bike Racks,0.0,0.0,0.0,,148.0,9941.808,3299.568,0.3318881233675002,9941.808,3299.568,,0.0,0.0,394.1984554162232,2905.3695445837766,3299.568,-3.2e-15,Other
Accessories,Locks,67.0,1005.0,314.0625,0.3125,670.0,10019.98,3110.605,0.31044024039968143,9014.98,2796.5425,-0.0020597596003185635,-30.01999999999998,0.0,1606.092355513396,1220.470144486604,2796.5425,-2.1e-14,Tier 2: Margin-Dilutive Growth
Accessories,Pumps,73.0,868.6135,266.6628,0.3069982218788909,705.0,8439.3462,2625.9867,0.31115996876630087,7570.7327,2359.3239,0.004161746887409979,50.68157671232873,0.0,1683.3339447503586,625.3083785373126,2359.3239,3.11e-14,Tier 1: High-Quality Growth
